INNODB_BUFFER_POOL_STATS,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB Buffer Pool Statistics Information ,GPL,FORCE
INNODB_TEMP_TABLE_INFO,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB Temp Table Stats,GPL,FORCE
INNODB_METRICS,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB Metrics Info,GPL,FORCE
INNODB_FT_DEFAULT_STOPWORD,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,Default stopword list for InnDB Full Text Search,GPL,FORCE
INNODB_FT_DELETED,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,INNODB AUXILIARY FTS DELETED TABLE,GPL,FORCE
INNODB_FT_BEING_DELETED,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,INNODB AUXILIARY FTS BEING DELETED TABLE,GPL,FORCE
INNODB_FT_CONFIG,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,INNODB AUXILIARY FTS CONFIG TABLE,GPL,FORCE
INNODB_FT_INDEX_CACHE,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,INNODB AUXILIARY FTS INDEX CACHED,GPL,FORCE
INNODB_FT_INDEX_TABLE,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,INNODB AUXILIARY FTS INDEX TABLE,GPL,FORCE
INNODB_TABLES,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB INNODB_TABLES,GPL,FORCE
INNODB_TABLESTATS,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB INNODB_TABLESTATS,GPL,FORCE
INNODB_INDEXES,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB INNODB_INDEXES,GPL,FORCE
INNODB_TABLESPACES,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB INNODB_TABLESPACES,GPL,FORCE
INNODB_COLUMNS,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB INNODB_COLUMNS,GPL,FORCE
INNODB_VIRTUAL,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB INNODB_VIRTUAL,GPL,FORCE
INNODB_CACHED_INDEXES,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB cached indexes,GPL,FORCE
INNODB_SESSION_TEMP_TABLESPACES,8.0,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB Session Temporary tablespaces,GPL,FORCE
MyISAM,1.0,ACTIVE,STORAGE ENGINE,80017.0,,,MySQL AB,MyISAM storage engine,GPL,FORCE
MRG_MYISAM,1.0,ACTIVE,STORAGE ENGINE,80017.0,,,MySQL AB,Collection of identical MyISAM tables,GPL,FORCE
PERFORMANCE_SCHEMA,0.1,ACTIVE,STORAGE ENGINE,80017.0,,,"Marc Alff, Oracle",Performance Schema,GPL,FORCE
TempTable,1.0,ACTIVE,STORAGE ENGINE,80017.0,,,Oracle Corporation,InnoDB temporary storage engine,GPL,FORCE
ARCHIVE,3.0,ACTIVE,STORAGE ENGINE,80017.0,,,"Brian Aker, MySQL AB",Archive storage engine,GPL,ON
BLACKHOLE,1.0,ACTIVE,STORAGE ENGINE,80017.0,,,MySQL AB,/dev/null storage engine (anything you write to it disappears),GPL,ON
FEDERATED,1.0,DISABLED,STORAGE ENGINE,80017.0,,,"Patrick Galbraith and Brian Aker, MySQL AB",Federated MySQL storage engine,GPL,OFF
ngram,0.1,ACTIVE,FTPARSER,1.1,,,Oracle Corp,Ngram Full-Text Parser,GPL,ON
mysqlx,1.0,ACTIVE,DAEMON,80017.0,,,Oracle Corp,X Plugin for MySQL,GPL,ON
mysqlx_cache_cleaner,1.0,ACTIVE,AUDIT,4.1,,,Oracle Inc,Cache cleaner for sha2 authentication in X plugin,GPL,ON
